ə	a
əlɛktɹɑn	electron
əlɛktɹɑnɪk	electronic
əlɛktɹoʊpleɪt	electroplate
ɛlɪmɑsn̩ɛɹi	eleemosynary
ɛlɪgəns	elegance
ɛləʤaɪək	elegiac
ɛləʤi	elegy
ɛləmənt	element
ɛləmɛntl̩	elemental
ɛləmɛntɚi	elementary
ɛləfənt	elephant
ɛləfæntin	elephantine
ɛləveɪt	elevate
ɛləveɪʃən	elevation
ɛləveɪtɚ	elevator
əlɛvən	eleven
ɛlf	elf
ɛlfən	elfin
əlɪsət	elicit
əlaɪd	elide
ɛlɪʤəbɪləti	eligibility
ɛlɪʤəbl̩	eligible
əlɪməneɪt	eliminate
əlɪƷən	elision
əlit	elite
əlɪksɚ	elixir
ɛlk	elk
ɛl	ell
əlɪps	ellipse
əlɪpsəs	ellipsis
ɛlm	elm
ɛləkjuʃən	elocution
əlɔŋgeɪt	elongate
əloʊp	elope
ɛləkwənt	eloquent
ɛls	else
əlusədeɪt	elucidate
əlud	elude
əlusɪv	elusive
ɛlvɚ	elver
ɛlvz	elves
ɪmeɪʃieɪt	emaciate
ɛməneɪt	emanate
ɛməneɪʃən	emanation
ɪmænsəpeɪt	emancipate
ɪmæskjʊleɪt	emasculate
ɪmbɑm	embalm
ɪmbæŋk	embank
ɪmbæŋkmənt	embankment
ɪmbɑɹgoʊ	embargo
ɪmbɑɹk	embark
ɛmbɑɹkeɪʃən	embarkation
ɪmbæɹəs	embarrass
ɛmbəsi	embassy
ɪmbætl̩	embattle
ɛmbɚ	ember
ɪmbɛzl̩	embezzle
ɛmbləm	emblem
ɛmbləmætɪk	emblematic
ɪmbɑdi	embody
ɛmbɑlɪk	embolic
ɛmbəlɪzm̩	embolism
ɪmbɔs	emboss
ɑmbʊʃʊɹ	embouchure
ɪmbaʊɚ	embower
ɪmbɹeɪƷɚ	embrasure
ɛmbɹəkeɪt	embrocate
ɛmbɹəkeɪʃən	embrocation
ɪmbɹɔɪdɚ	embroider
ɪmbɹɔɪl	embroil
ɛmbɹioʊ	embryo
ɛmbɹiɑləʤi	embryology
ɛmbɹiɑnɪk	embryonic
ɛmsi	emcee
ɪmɛnd	emend
ɪmɛndeɪʃən	emendation
ɛmɚl̩d	emerald
ɪmɝʤ	emerge
ɪmɝʤənsi	emergency
ɪmɛɹətəs	emeritus
ɛmɚi	emery
ɪmɛtɪk	emetic
ɛməgɹeɪt	emigrate
ɛməgɹeɪʃən	emigration
ɛməgɹeɪ	emigre
ɛmənəns	eminence
ɪmɪɹ	emir
ɛməsɛɹi	emissary
ɪmɪt	emit
ɪmɑljənt	emollient
ɪmɑljəmənt	emolument
ɪmoʊt	emote
ɪmoʊʃən	emotion
ɪmpæθɪk	empathic
ɛmpəθi	empathy
ɛmpɚɚ	emperor
ɛmfəsəs	emphasis
ɪmfætɪk	emphatic
ɛmpaɪɹ	empire
ɪmpɪɹɪkl̩	empirical
ɪmpleɪsmənt	emplacement
ɪmplɔɪ	employ
ɪmplɔɪi	employee
ɪmplɔɪɚ	employer
ɪmplɔɪmənt	employment
ɪmpoɹiəm	emporium
ɪmpaʊɚ	empower
ɛmpɹəs	empress
ɛmpti	empty
ɛmpaɪɹiən	empyrean
imju	emu
ɛmjʊleɪt	emulate
ɛmjʊleɪʃən	emulation
ɛmjʊləs	emulous
ɪmʌlsəfaɪɚ	emulsifier
ɪmʌlʃən	emulsion
ɪneɪbl̩	enable
ɪnæml̩	enamel
ɪnæmɚ	enamor
ɪnkæmp	encamp
ɛnsɛfəlaɪtəs	encephalitis
ɪnʧeɪn	enchain
ɛnʧəlɑdə	enchilada
ɪnsaɪfɚ	encipher
ɪnsɝkl̩	encircle
ɛnkleɪv	enclave
ɛnkloʊz	enclose
ɪnkoʊmiəm	encomium
ɪnkʌmpəs	encompass
ɑnkoɹ	encore
ɪnkaʊntɚ	encounter
ɪnkɝɪʤ	encourage
ɪnsɪklɪkl̩	encyclical
ɪnsaɪkləpidiə	encyclopedia
ɛnd	end
ɪndeɪnʤɚ	endanger
ɪndɛvɚ	endeavor
ɛndɛmɪk	endemic
ɛndaɪv	endive
ɛndləs	endless
ɛndmoʊst	endmost
ɛndəkɹən	endocrine
ɛndəkɹɪnɑləʤi	endocrinology
ɪndɔɹs	endorse
ɛndweɪz	endways
ɛnəmə	enema
ɛnəmi	enemy
ɛnɚʤɛtɪk	energetic
ɛnɚʤaɪz	energize
ɪnɚveɪt	enervate
ɪnfibl̩	enfeeble
ɛnfəleɪd	enfilade
ɪnfoʊld	enfold
ɪnʤɛndɚ	engender
ɛnʤən	engine
ɛnʤənɪɹ	engineer
ɪngɹæft	engraft
ɪngɹoʊs	engross
ɪnɪgmə	enigma
ɛnɪgmætɪk	enigmatic
ɪnaɪl	enisle
ɪnʤæmənt	enjambement
ɪnʤɔɪn	enjoin
ɪnmɛʃ	enmesh
ɛnməti	enmity
ɪnoʊbl̩	ennoble
ɑnwi	ennui
ɪnɔɹməti	enormity
ɪnʌf	enough
ɪnpleɪn	enplane
ɪnkwaɪɹ	enquire
ɪnkwaɪɹi	enquiry
ɪnɹeɪʤ	enrage
ɪnskɑns	ensconce
ɑnsɑmbl̩	ensemble
ɪnʃið	ensheathe
ɪnʃɹaɪn	enshrine
ɛnsən	ensign
ɛnsl̩ɪʤ	ensilage
ɛnsaɪl	ensile
ɪnsleɪv	enslave
ɪnteɪl	entail
ɑntɑnt	entente
ɛntɚ	enter
ɛntɚaɪtəs	enteritis
ɛntɚpɹaɪz	enterprise
ɛntɚteɪn	entertain
ɪnθɹɔl	enthral
ɪnθuz	enthuse
ɪnθuziæzm̩	enthusiasm
ɪntaɪs	entice
ɛnəti	entity
ɪntum	entomb
ɛntəmɑləʤi	entomology
ɑntɚɑƷ	entourage
ɪntɹeɪn	entrain
ɛntɹəns	entrance
ɛntɹənt	entrant
ɪntɹæp	entrap
ɪntɹit	entreat
ɑntɹeɪ	entree
ɪntɹɛnʧ	entrench
ɑntɹəpɹənʊɹ	entrepreneur
ɛntɹəpi	entropy
ɪntɹʌst	entrust
ɛntɹi	entry
ɪntwaɪn	entwine
ɪnumɚeɪt	enumerate
ɪnʌnsieɪt	enunciate
ɪnvɛləp	envelop
ɛnvəloʊp	envelope
ɪnvɛnm̩	envenom
ɛnviəbl̩	enviable
ɛnviəs	envious
ɛnvaɪɹənmənt	environment
ɪnvaɪɹənz	environs
ɪnvɪzɪʤ	envisage
ɛnvɔɪ	envoy
ɛnvi	envy
ɪnɹið	enwreathe
ɛnzəmætɪk	enzymatic
ɛnzaɪm	enzyme
iən	eon
ɛpəlɛt	epaulette
ɛpeɪ	epee
ɪpɝn	epergne
ɪfɛdɹən	ephedrine
ɪfɛmɚl̩	ephemeral
ɛpɪk	epic
ɛpɪkjʊɹ	epicure
ɛpɪkjʊɹiən	epicurean
ɛpədɛmɪk	epidemic
ɛpədɝməs	epidermis
ɛpəglɑtəs	epiglottis
ɛpəgɹæm	epigram
ɛpɪgɹəmætɪk	epigrammatic
ɪpɪgɹəfi	epigraphy
ɛpəlɛpsi	epilepsy
ɛpəlɛptɪk	epileptic
ɛpəlɔg	epilogue
ɪpɪfəni	epiphany
ɪpɪskəpəsi	episcopacy
ɪpɪskəpət	episcopate
ɛpəsoʊd	episode
ɛpəsɑdɪk	episodic
ɪpɪsl̩	epistle
ɛpətæf	epitaph
ɛpəθəleɪmiəm	epithalamium
ɛpəθiliəm	epithelium
ɛpəθɛt	epithet
ɪpɪtəmi	epitome
ɛpək	epoch
ɛkwəbɪləti	equability
ɛkwəbl̩	equable
ɛkwəbli	equably
ikwl̩	equal
ikwɑləti	equality
ikwl̩əzeɪʃən	equalization
ikwəlaɪz	equalize
ikwəlaɪzɚ	equalizer
ikwl̩i	equally
ikwənɪməti	equanimity
ɪkweɪt	equate
ɪkweɪƷən	equation
ɪkweɪtɚ	equator
ikwətoɹil̩	equatorial
ɛkwəɹi	equerry
ɪkwɛstɹiən	equestrian
ɪkwɛstɹiɛn	equestrienne
ikwədɪstənt	equidistant
ikwaɪn	equine
ikwənɑkʃl̩	equinoctial
ikwənɑks	equinox
əkwɪp	equip
ɛkwəpɪʤ	equipage
əkwɪpmənt	equipment
ɛkwəpɔɪz	equipoise
ɛkwətəbl̩	equitable
ɛkwəteɪʃən	equitation
ɛkwəti	equity
ɪkwɪvl̩ənt	equivalent
ɪkwɪvəkl̩	equivocal
ɪɹə	era
ɪɹædəkeɪt	eradicate
ɪɹeɪs	erase
ɛɹ	ere
iɹɛkt	erect
ɛɹlɔŋ	erelong
ɛɹəmaɪt	eremite
ɝmən	ermine
ɪɹoʊd	erode
ɪɹɑtɪk	erotic
ɛɹ	err
ɛɹənd	errand
ɛɹənt	errant
ɛɹɑtə	errata
ɪɹætɪk	erratic
ɛɹɑtm̩	erratum
ɪɹoʊniəs	erroneous
ɛɹɚ	error
ɛɹzɑts	ersatz
ɝst	erst
ɛɹjudaɪt	erudite
ɛɹjudɪʃən	erudition
ɪɹʌpt	erupt
ɛɹəsɪpl̩əs	erysipelas
ɛskəleɪtɚ	escalator
ɪskɑləp	escallop
ɛskəpeɪd	escapade
ɛskeɪp	escape
ɛskeɪpi	escapee
ɪskeɪpɪzm̩	escapism
ɪskɑɹpmənt	escarpment
ɪsʧu	eschew
ɛskɔɹt	escort
ɛskɹətwɑɹ	escritoire
ɪskudoʊ	escudo
ɪskʌʧən	escutcheon
ɛsæfəgəs	esophagus
ɛsətɛɹɪk	esoteric
ɛspədɹɪl	espadrille
ɪspæljɚ	espalier
ɪspɛʃl̩	especial
ɛspiənɑƷ	espionage
ɛsplənɑd	esplanade
ɪspaʊzl̩	espousal
ɪspɹɛsoʊ	espresso
ɪspɹi	esprit
ɪspaɪ	espy
ɛskwaɪɹ	esquire
ɛseɪ	essay
ɛsn̩s	essence
ɪsɛnʧl̩	essential
ɪstæblɪʃ	establish
ɪsteɪt	estate
ɛstɚ	ester
ɛstəməbl̩	estimable
ɛstəmeɪt	estimate
ɛstəmeɪʃən	estimation
ɪstɹeɪnʤ	estrange
ɛstɹəʤən	estrogen
ɛsʧuɛɹi	estuary
ɛʧ	etch
ɪtɝnl̩	eternal
ɪtɝnəti	eternity
iθɚ	ether
ɪθɪɹil̩	ethereal
ɛθɪkl̩	ethical
ɛθnɪk	ethnic
ɛθnəlɑʤɪk	ethnologic
ɛθnɑləʤəst	ethnologist
ɛθnɑləʤi	ethnology
ɛθl̩	ethyl
itiəlɑʤɪk	etiologic
itiɑləʤi	etiology
ɛtɪkət	etiquette
eɪtud	etude
ɛtəmɑləʤi	etymology
jukəlɪptəs	eucalyptus
jukəɹɪstɪk	eucharistic
jukɚ	euchre
juʤɛnɪks	eugenics
juləʤɪstɪk	eulogistic
juləʤaɪz	eulogize
juləʤi	eulogy
junək	eunuch
jufəmɪzm̩	euphemism
jʊfoʊniəs	euphonious
jufəni	euphony
jʊfoɹiə	euphoria
jʊɹikə	eureka
jʊɹoʊpiəm	europium
juθəneɪƷjə	euthanasia
jʊθɛnɪks	euthenics
ɪvækjueɪt	evacuate
ɪvækjui	evacuee
ɪveɪd	evade
ɪvæljueɪt	evaluate
ɛvənɛsn̩t	evanescent
ivænʤɛlɪkl̩	evangelical
ɪvænʤəlɪzm̩	evangelism
ɪvænʤl̩əst	evangelist
ɪvænʤəlaɪz	evangelize
ɪvæpɚeɪt	evaporate
ɪveɪƷən	evasion
iv	eve
ivən	even
ivənhændəd	evenhanded
ivnɪŋ	evening
ivənsɔŋ	evensong
əvɛnt	event
ivəntaɪd	eventide
ɪvɛnʧul̩	eventual
ɛvɚ	ever
ɛvɚblumɪŋ	everblooming
ɛvɚgleɪd	everglade
ɛvɚlæstɪŋ	everlasting
ɛvɹi	every
ɛvɹibʌdi	everybody
ɛvɹideɪ	everyday
ɪvɪkt	evict
ɛvədɪns	evidence
ɛvədənt	evident
ivl̩	evil
ivl̩duɚ	evildoer
ɪvɪns	evince
ɪvɪsɚeɪt	eviscerate
ɪvoʊkeɪʃən	evocation
ɪvoʊk	evoke
ɛvəluʃən	evolution
ɪvɑlv	evolve
ju	ewe
juɚ	ewer
ɪgzæsɚbeɪt	exacerbate
ɪgzækt	exact
ɪgzæktətud	exactitude
ɪgzæʤɚeɪt	exaggerate
ɪgzɔlt	exalt
ɛgzɔlteɪʃən	exaltation
ɪgzæm	exam
ɪgzæmən	examine
ɪgzæmpl̩	example
ɪgzæspɚeɪt	exasperate
ɛkskəveɪt	excavate
ɛkskəveɪʃən	excavation
ɛkskəveɪtɚ	excavator
ɪksid	exceed
ɪksɛl	excel
ɛksl̩əns	excellence
ɪksɛlsiɚ	excelsior
ɪksɛpt	except
ɪksɛpʃən	exception
ɛksɚpt	excerpt
ɛksɛs	excess
ɪksɛsɪv	excessive
ɪksʧeɪnʤ	exchange
ɛksʧɛkɚ	exchequer
ɛksaɪz	excise
ɪksaɪt	excite
ɪksaɪtmənt	excitement
ɪkskleɪm	exclaim
ɛkskləmeɪʃən	exclamation
ɪksklæmətoɹi	exclamatory
ɪksklud	exclude
ɪksklusɪv	exclusive
ɛkskɑʤəteɪt	excogitate
ɛkskəmjunəkeɪt	excommunicate
ɛkskoɹieɪt	excoriate
ɛkskɹəmənt	excrement
ɛkskɹɛsn̩s	excrescence
ɛkskɹit	excrete
ɛkskɹətoɹi	excretory
ɪkskɹuʃieɪtɪŋ	excruciating
ɛkskʌlpeɪt	exculpate
ɪkskɝƷən	excursion
ɪkskɝsəv	excursive
ɪkskjuz	excuse
ɛksəkɹəbl̩	execrable
ɛksəkɹeɪt	execrate
ɛksəkɹeɪʃən	execration
ɛksəkjut	execute
ɛksəkjuʃən	execution
ɪgzɛkjutɪv	executive
ɪgzɛkjutɚ	executor
ɛksəʤisəs	exegesis
ɛksəʤit	exegete
ɪgzɛmplɑɹ	exemplar
ɪgzɛmplɚi	exemplary
ɪgzɛmpləfaɪ	exemplify
ɪgzɛmpt	exempt
ɛksəkwiz	exequies
ɛksɚsaɪz	exercise
ɪgzɝt	exert
ɛksəleɪʃən	exhalation
ɛksheɪl	exhale
ɪgzɔst	exhaust
ɪgzɔsʧən	exhaustion
ɪgzɪbət	exhibit
ɛksəbɪʃən	exhibition
ɛksəbɪʃənɪzm̩	exhibitionism
ɪgzɪbətɚ	exhibitor
ɪgzɪlɚeɪt	exhilarate
ɪgzɔɹt	exhort
ɛksɔɹteɪʃən	exhortation
ɛkshjumeɪʃən	exhumation
ɪgzum	exhume
ɛksəʤənsi	exigency
ɛksəʤənt	exigent
ɛksəgjuəti	exiguity
ɛgzɪgjʊəs	exiguous
ɛgzaɪl	exile
ɪgzɪst	exist
ɪgzɪstəns	existence
ɛgzɪstɛnʧəlɪzm̩	existentialism
ɛgzət	exit
ɛksədəs	exodus
ɪgzɑnɚeɪt	exonerate
ɪgzɔɹbətənt	exorbitant
ɛksɔɹsaɪz	exorcise
ɛgzɔɹdiəm	exordium
ɪgzɑtɪk	exotic
ɪkspænd	expand
ɛkspeɪʃieɪt	expatiate
ɛkspeɪtɹiət	expatriate
ɪkspɛkt	expect
ɛkspɛkteɪʃən	expectation
ɪkspɛktɚənt	expectorant
ɪkspɛktɚeɪt	expectorate
ɪkspidiənsi	expediency
ɛkspədaɪt	expedite
ɛkspədɪʃən	expedition
ɪkspɛl	expel
ɪkspɛnd	expend
ɪkspɪɹiəns	experience
ɪkspɛɹəmənt	experiment
ɛkspɝt	expert
ɛkspɝtiz	expertise
ɛkspieɪt	expiate
ɛkspieɪʃən	expiation
ɛkspiətoɹi	expiatory
ɛkspɚeɪʃən	expiration
ɪkspaɪɹ	expire
ɪkspleɪn	explain
ɛkspləneɪʃən	explanation
ɪksplænətoɹi	explanatory
ɛksplətɪv	expletive
ɛksplɪkəbl̩	explicable
ɛkspləkeɪt	explicate
ɪksplɪsət	explicit
ɪksploʊd	explode
ɛksplɔɪt	exploit
ɛksplɔɪteɪʃən	exploitation
ɛksplɚeɪʃən	exploration
ɪksploɹ	explore
ɪksploɹɚ	explorer
ɪksploʊƷən	explosion
ɪkspoʊnənt	exponent
ɛkspənɛnʧl̩	exponential
ɛkspoɹt	export
ɛkspoɹteɪʃən	exportation
ɛkspoɹtɚ	exporter
ɪkspoʊz	expose
ɛkspəzɪʃən	exposition
ɪkspɑzətɚ	expositor
ɛkspɑsʧəleɪt	expostulate
ɪkspoʊƷɚ	exposure
ɪkspaʊnd	expound
ɪkspɹɛs	express
ɪkspɹɛʃən	expression
ɪkspɹɛʃənɪstɪk	expressionistic
ɛkspɹɛsmæn	expressman
ɪkspɹɛsweɪ	expressway
ɛkspɹoʊpɹieɪt	expropriate
ɪkspʌlʃən	expulsion
ɪkspʌnʤ	expunge
ɛkspɚgeɪt	expurgate
ɛkspɚgeɪʃən	expurgation
ɛkskwɪzət	exquisite
ɛkstənt	extant
ɛkstɛmpəɹeɪniəs	extemporaneous
ɪkstɛmpɚɛɹi	extemporary
ɪkstɛnd	extend
ɪkstɛnjueɪt	extenuate
ɛkstɪɹiɚ	exterior
ɪkstɝməneɪt	exterminate
ɛkstɝn	extern
ɛkstɝnl̩	external
ɪkstɪŋkt	extinct
ɪkstɪŋkʃən	extinction
ɪkstɪŋgwɪʃ	extinguish
ɛkstɚpeɪt	extirpate
ɛkstɝpeɪʃən	extirpation
ɪkstoʊl	extoll
ɪkstɔɹt	extort
ɛkstɔɹʃənət	extortionate
ɛkstɹə	extra
ɪkstɹækt	extract
ɛkstɹəkɚɪkjʊlɚ	extracurricular
ɛkstɹədaɪt	extradite
ɛkstɹədɪʃən	extradition
ɛkstɹədɑs	extrados
ɛkstɹəmjʊɹl̩	extramural
ɛkstɹeɪniəs	extraneous
ɪkstɹɔɹdn̩ɛɹəli	extraordinarily
ɪkstɹɔɹdn̩ɛɹi	extraordinary
ɪkstɹæpəleɪt	extrapolate
ɛkstɹəsɛnsɚi	extrasensory
ɪkstɹævɪgənt	extravagant
ɪkstɹævəgænzə	extravaganza
ɪkstɹim	extreme
ɛkstɹəkeɪt	extricate
ɛkstɹɪnzɪk	extrinsic
ɛkstɹəvɝƷən	extroversion
ɛkstɹəvɝt	extrovert
ɛkstɹəvɝtəd	extroverted
ɪkstɹud	extrude
ɪgzubɚənt	exuberant
ɛksədeɪt	exudate
ɛksədeɪʃən	exudation
ɪgzud	exude
ɪgzʌlt	exult
ɛksʌlteɪʃən	exultation
ɛksɝb	exurb
ɛksɝbənaɪt	exurbanite
ɛksɝbiə	exurbia
aɪ	eye
aɪstɹeɪn	eyestrain
aɪɹi	eyrie
eɪɹɪɹ	eyrir
ɛf	f
feɪbl̩	fable
fæbɹɪk	fabric
fæbɹɪkeɪt	fabricate
fæbɹɪkeɪʃən	fabrication
fæbjʊləs	fabulous
fəsɑd	facade
feɪs	face
feɪsdaʊn	facedown
fæsət	facet
fəsiʃəs	facetious
feɪʃl̩	facial
fæsl̩	facile
fəsɪləteɪt	facilitate
feɪsɪŋ	facing
fæksɪml̩i	facsimile
fækt	fact
fækʃən	faction
fæktɪʃəs	factitious
fæktɚ	factor
fæktoʊtm̩	factotum
fækʧul̩	factual
fækl̩ti	faculty
fæd	fad
feɪd	fade
fɛɹi	faery
fæg	fag
fægət	faggot
feɪɑns	faience
feɪl	fail
faɪl	faille
feɪljɚ	failure
feɪn	fain
feɪnt	faint
fæɹ	fair
fæɹi	fairy
feɪθ	faith
feɪk	fake
fəkɪɹ	fakir
fɔlʧən	falchion
fælkən	falcon
fɔl	fall
fəleɪʃəs	fallacious
fæləsi	fallacy
fɔlən	fallen
fæləbl̩	fallible
fɔlaʊt	fallout
fæloʊ	fallow
fɔls	false
fɔlshʊd	falsehood
fɔlsɛtoʊ	falsetto
fɔlsəfəkeɪʃən	falsification
fɔlsəfaɪ	falsify
fɔlsəti	falsity
fɑltboʊt	faltboat
fɔltɚ	falter
feɪm	fame
feɪmd	famed
fəmɪljl̩	familial
fəmɪljɚ	familiar
fəmɪljæɹəti	familiarity
fəmɪljɚaɪz	familiarize
fæml̩i	family
fæmən	famine
fæmɪʃ	famish
feɪməs	famous
fæn	fan
fənætɪk	fanatic
fænsiɚ	fancier
fænsi	fancy
fændæŋgoʊ	fandango
feɪn	fane
fænfæɹ	fanfare
fæŋ	fang
fænlaɪt	fanlight
fænteɪƷə	fantasia
fæntæstɪk	fantastic
fæntəsi	fantasy
fɑɹ	far
fɑɹəweɪ	faraway
fɑɹs	farce
fæɹ	fare
fæɹwɛl	farewell
fɑɹfɛʧt	farfetched
fəɹinə	farina
fɑɹm	farm
fɑɹmhænd	farmhand
fɑɹmlænd	farmland
fəɹuʃ	farouche
fəɹɑgoʊ	farrago
fæɹiɚ	farrier
fæɹoʊ	farrow
fɑɹsiɪŋ	farseeing
fɑɹsaɪtəd	farsighted
fɑɹðɚ	farther
fɑɹðɪŋ	farthing
fɑɹðəngeɪl	farthingale
fæsɪkl̩	fascicle
fæsn̩eɪt	fascinate
fæsn̩eɪʃən	fascination
fæʃɪzm̩	fascism
fæʃɪstɪk	fascistic
fæʃən	fashion
fæʃənəbl̩	fashionable
fæst	fast
fæsn̩	fasten
fæsn̩ɚ	fastener
fæsnɪŋ	fastening
fæstɪdiəs	fastidious
fæstnəs	fastness
fæt	fat
feɪtl̩	fatal
feɪtəlɪstɪk	fatalistic
feɪtæləti	fatality
fætbæk	fatback
feɪt	fate
feɪtəd	fated
feɪtfl̩	fateful
fɑðɚ	father
fæðm̩	fathom
fətig	fatigue
fætn̩	fatten
fæti	fatty
fətuəti	fatuity
fæʧuəs	fatuous
foʊbʊɹ	faubourg
fɔsət	faucet
fɔlt	fault
fɔn	faun
fɔnə	fauna
feɪvɚ	favor
feɪvɚəbl̩	favorable
fɔn	fawn
feɪ	fay
feɪz	faze
filti	fealty
fɪɹ	fear
fizəbɪləti	feasibility
fizəbl̩	feasible
fizəbli	feasibly
fist	feast
fit	feat
fɛðɚ	feather
fiʧɚ	feature
fiz	feaze
fɛbɹl̩	febrile
fisiz	feces
fɛkləs	feckless
fikənd	fecund
fɛkəndeɪt	fecundate
fɛkəndeɪʃən	fecundation
fɪkʌndəti	fecundity
fɛd	fed
fɛdɚl̩	federal
fɛdɚəlaɪz	federalize
fɛdɚət	federate
fɛdɚeɪʃən	federation
fɪdoɹə	fedora
fi	fee
fibl̩	feeble
fibl̩maɪndəd	feebleminded
fid	feed
fidbæk	feedback
fil	feel
fit	feet
feɪn	feign
feɪnt	feint
fəlɪsəteɪt	felicitate
fəlɪsətəs	felicitous
filaɪn	feline
fɛl	fell
fɛlə	fellah
fɛləhin	fellahin
fɛloʊ	felloe
fɛloʊ	fellow
fɛloʊmæn	fellowman
fɛloʊʃɪp	fellowship
fɛli	felly
fɛlən	felon
fəloʊniəs	felonious
fɛləni	felony
fɛlt	felt
fimeɪl	female
fɛmənən	feminine
fɛmənɪnəti	femininity
fɛmənɪzm̩	feminism
fɛməɹə	femora
fimɚ	femur
fɛn	fen
fɛns	fence
fɛnd	fend
fɛnəstɹeɪʃən	fenestration
fɛnl̩	fennel
fɝmɛnt	ferment
fɝmənteɪʃən	fermentation
fɛɹmiəm	fermium
fɝn	fern
fɚoʊʃəs	ferocious
fɛɹət	ferret
fɛɹɪk	ferric
fɛɹəs	ferrous
fɛɹl̩	ferrule
fɛɹi	ferry
fɝtl̩	fertile
fɝtɪləti	fertility
fɝtl̩əzeɪʃən	fertilization
fɝtəlaɪzɚ	fertilizer
fɛɹl̩	ferule
fɝvənsi	fervency
fɛstl̩	festal
fɛstɚ	fester
fɛstəvl̩	festival
fɛstɪvəti	festivity
fɛstun	festoon
fɛʧ	fetch
feɪt	fete
fɛtɪʃ	fetich
fɛtəd	fetid
fɛtlɑk	fetlock
fɛtɚ	fetter
fɛtl̩	fettle
fitəs	fetus
fjud	feud
fjudl̩	feudal
fjudəlɪstɪk	feudalistic
fjudətoɹi	feudatory
fivɚ	fever
fju	few
feɪ	fey
fɛz	fez
fiɑnseɪ	fiance
fiæskoʊ	fiasco
fiɑt	fiat
fɪb	fib
faɪbɚboɹd	fiberboard
faɪbɚ	fibre
faɪbɹɔɪd	fibroid
fɪʃu	fichu
fɪkl̩	fickle
fɪkʃən	fiction
fɪktɪʃəs	fictitious
fɪdl̩	fiddle
fɪdl̩stɪk	fiddlestick
fədɛləti	fidelity
fɪʤət	fidget
fəduʃiɛɹi	fiduciary
faɪ	fie
fif	fief
fild	field
fildpis	fieldpiece
find	fiend
fɪɹs	fierce
faɪɹi	fiery
fiɛstə	fiesta
faɪf	fife
fɪftin	fifteen
fɪfθ	fifth
fɪfti	fifty
fɪg	fig
faɪt	fight
fɪgmənt	figment
fɪgjɚətɪv	figurative
fɪgjɚ	figure
fɪgjɚin	figurine
fɪləmənt	filament
fɪləmɛntəs	filamentous
fɪlbɚt	filbert
fɪlʧ	filch
faɪl	file
fɪleɪ	filet
fɪlil̩	filial
fɪləbʌstɚ	filibuster
fɪləgɹi	filigree
faɪlɪŋ	filing
fɪl	fill
fɪlɚ	filler
fɪleɪ	fillet
fɪlɪŋ	filling
fɪləp	fillip
fɪli	filly
fɪlm	film
fɪls	fils
fɪltɚ	filter
fɪlθ	filth
fɪltɹeɪt	filtrate
fɪltɹeɪʃən	filtration
fɪn	fin
fəneɪgl̩	finagle
faɪnl̩	final
fənæli	finale
faɪnl̩əst	finalist
faɪnæləti	finality
faɪnl̩i	finally
faɪnæns	finance
fənænʧl̩	financial
fɪnənsɪɹ	financier
fɪnʧ	finch
faɪnd	find
faɪndɪŋ	finding
faɪn	fine
faɪnɚi	finery
fənɛs	finesse
fɪŋgɚ	finger
fɪŋgəɹɪŋ	fingering
fɪŋgɚneɪl	fingernail
fɪnɪkɪŋ	finicking
fɪnɪki	finicky
fɪni	finis
fɪnɪʃ	finish
faɪnaɪt	finite
fɪni	finny
fɝ	fir
faɪɹ	fire
faɪɹkɹækɚ	firecracker
faɪɹmən	fireman
fɝm	firm
fɝməmənt	firmament
fɝst	first
fɝstbɔɹn	firstborn
fɝstlɪŋ	firstling
fɝθ	firth
fɪskl̩	fiscal
fɪʃ	fish
fɪʃɚmən	fisherman
fɪʃhʊk	fishhook
fɪʃwaɪf	fishwife
fɪʃən	fission
fɪʃɚ	fissure
fɪst	fist
fɪstɪkʌfs	fisticuffs
fɪsʧʊlə	fistula
fɪt	fit
faɪv	five
fɪks	fix
fɪkseɪʃən	fixation
fɪksətɪv	fixative
fɪkst	fixed
fɪksədli	fixedly
fɪksədnəs	fixedness
fɪksəti	fixity
fɪksʧɚ	fixture
fɪz	fizz
fɪzl̩	fizzle
fiɔɹd	fjord
flæbɚgæst	flabbergast
flæbi	flabby
flæsəd	flaccid
flækən	flacon
flæg	flag
flæʤəleɪt	flagellate
flæʤəlɛt	flageolet
fləʤɪʃəs	flagitious
flægən	flagon
flægpoʊl	flagpole
fleɪgɹənt	flagrant
flægʃɪp	flagship
fleɪl	flail
flæɹ	flair
flæk	flak
fleɪk	flake
flæmboʊ	flambeau
flæmbɔɪənt	flamboyant
fleɪm	flame
fləmɛŋkoʊ	flamenco
fleɪmθɹoʊɚ	flamethrower
fləmɪŋgoʊ	flamingo
flæməbl̩	flammable
flænʤ	flange
flæŋk	flank
flænl̩	flannel
flænəlɛt	flannelette
flæp	flap
flæpʤæk	flapjack
flæɹ	flare
flæʃ	flash
flæsk	flask
flæt	flat
flætboʊt	flatboat
flætn̩	flatten
flæʧʊlənt	flatulent
flætwæɹ	flatware
flɔnt	flaunt
flɔtəst	flautist
fleɪvɚ	flavor
fleɪvəɹɪŋ	flavoring
flɔ	flaw
flæks	flax
fleɪ	flay
fli	flea
flɛk	fleck
flɛd	fled
flɛʤlɪŋ	fledgling
fli	flee
flis	fleece
flɪɹ	fleer
flit	fleet
flɛʃ	flesh
flu	flew
flɛks	flex
flɛksəbɪləti	flexibility
